Symbol                    BaseName   Name       Type     Volume
BUDDY/USDC                BUDDY      @160       spot     214,442.85
MEW/USDC:USDC             MEW        MEW        swap     193,049.26
IOTA/USDC:USDC            IOTA       IOTA       swap     190,908.78
OMNI/USDC:USDC            OMNI       OMNI       swap     178,035.80
PEOPLE/USDC:USDC          PEOPLE     PEOPLE     swap     177,250.23
XAUT0/USDC                XAUT0      @182       spot     159,416.45
ACE/USDC:USDC             ACE        ACE        swap     158,647.29
ARK/USDC:USDC             ARK        ARK        swap     153,265.02
REQ/USDC:USDC             REQ        REQ        swap     152,860.39
USDXL/USDC                USDXL      @152       spot     151,579.45
PIP/USDC                  PIP        @85        spot     150,062.25
MNT/USDC:USDC             MNT        MNT        swap     145,071.53
NOT/USDC:USDC             NOT        NOT        swap     140,897.30
TNSR/USDC:USDC            TNSR       TNSR       swap     136,234.78
MANTA/USDC:USDC           MANTA      MANTA      swap     125,855.17
MAV/USDC:USDC             MAV        MAV        swap     119,882.36
UMA/USDC:USDC             UMA        UMA        swap     117,006.02
POLYX/USDC:USDC           POLYX      POLYX      swap     115,124.77
SCR/USDC:USDC             SCR        SCR        swap     102,906.60
HFUN/USDC                 HFUN       @1         spot     92,705.35
OGN/USDC:USDC             OGN        OGN        swap     86,575.34
MINA/USDC:USDC            MINA       MINA       swap     80,620.48
CELO/USDC:USDC            CELO       CELO       swap     79,324.68
SNX/USDC:USDC             SNX        SNX        swap     74,962.98
USTC/USDC:USDC            USTC       USTC       swap     73,772.67
STG/USDC:USDC             STG        STG        swap     61,994.77
FTT/USDC:USDC             FTT        FTT        swap     61,480.15
JEFF/USDC                 JEFF       @4         spot     53,124.15
YGG/USDC:USDC             YGG        YGG        swap     49,786.37
KLUNC/USDC:USDC           kLUNC      kLUNC      swap     47,423.76
KDOGS/USDC:USDC           kDOGS      kDOGS      swap     45,505.94
HMSTR/USDC:USDC           HMSTR      HMSTR      swap     39,490.87
VEGAS/USDC                VEGAS      @35        spot     35,664.38
CATBAL/USDC               CATBAL     @59        spot     33,212.66
LATINA/USDC               LATINA     @195       spot     32,223.23
HORSY/USDC                HORSY      @183       spot     25,153.72
LQNA/USDC                 LQNA       @86        spot     18,306.80
TRADE/USDC                TRADE      @191       spot     17,951.83
VVV/USDC:USDC             VVV        VVV        swap     17,428.70
FUND/USDC                 FUND       @163       spot     13,747.08
PRFI/USDC                 PRFI       @161       spot     13,384.55
EX/USDC                   EX         @199       spot     11,468.21
JPEG/USDC                 JPEG       @147       spot     8,243.54
POINTS/USDC               POINTS     @8         spot     5,283.62
RAGE/USDC                 RAGE       @49        spot     4,509.10
FARM/USDC                 FARM       @123       spot     4,216.10
HPYH/USDC                 HPYH       @105       spot     3,303.62
ADHD/USDC                 ADHD       @40        spot     3,274.22
